6.8790 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
18.5115 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
20.9716 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001D107655D60>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001D10A9A41F0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
20.9718 	EXP 	window1: mouseVisible = True
20.9721 	EXP 	window1: mouseVisible = False
20.9722 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
20.9722 	EXP 	window1: recordFrameIntervals = False
21.1383 	EXP 	window1: recordFrameIntervals = True
21.2229 	WARNING 	t of last frame was 21.00ms (=1/47)
21.3255 	WARNING 	t of last frame was 22.17ms (=1/45)
21.6213 	EXP 	Screen (0) actual frame rate measured at 59.77Hz
21.6215 	EXP 	window1: recordFrameIntervals = False
27.7610 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
27.8274 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.3, 0.3, 0.3]), colorSpace='rgb', contrast=0.3, depth=-1.0, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.2, 0.2]), tex='sin', texRes=128.0, units='height', win=Window(...))
27.8366 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
27.8385 	EXP 	New trial (rep=0, index=0): None
27.8760 	EXP 	grating: ori = 0.0
27.8760 	EXP 	fixation: autoDraw = True
28.9154 	EXP 	grating: autoDraw = True
28.9154 	EXP 	grating: tex = 'sin'
28.9352 	EXP 	fixation: autoDraw = False
29.2177 	EXP 	grating: autoDraw = False
30.0049 	EXP 	New trial (rep=1, index=0): None
30.0134 	DATA 	Keypress: up
30.0193 	EXP 	fixation: autoDraw = False
30.0193 	EXP 	grating: autoDraw = False
30.0193 	EXP 	grating: ori = 0.0
30.0193 	EXP 	fixation: autoDraw = True
31.0033 	EXP 	grating: autoDraw = True
31.0212 	EXP 	fixation: autoDraw = False
31.3117 	EXP 	grating: autoDraw = False
31.6623 	EXP 	New trial (rep=2, index=0): None
31.6703 	DATA 	Keypress: up
31.6759 	EXP 	fixation: autoDraw = False
31.6759 	EXP 	grating: autoDraw = False
31.6759 	EXP 	grating: ori = 0.0
31.6759 	EXP 	fixation: autoDraw = True
32.6678 	EXP 	grating: autoDraw = True
32.6847 	EXP 	fixation: autoDraw = False
32.9677 	EXP 	grating: autoDraw = False
33.2781 	EXP 	New trial (rep=3, index=0): None
33.2860 	DATA 	Keypress: up
33.2911 	EXP 	fixation: autoDraw = False
33.2911 	EXP 	grating: autoDraw = False
33.2911 	EXP 	grating: ori = -4.0
33.2911 	EXP 	fixation: autoDraw = True
34.2842 	EXP 	grating: autoDraw = True
34.3003 	EXP 	fixation: autoDraw = False
34.5847 	EXP 	grating: autoDraw = False
34.8420 	EXP 	New trial (rep=4, index=0): None
34.8468 	DATA 	Keypress: down
34.8533 	EXP 	fixation: autoDraw = False
34.8533 	EXP 	grating: autoDraw = False
34.8533 	EXP 	grating: ori = 4.0
34.8533 	EXP 	fixation: autoDraw = True
35.8502 	EXP 	grating: autoDraw = True
35.8678 	EXP 	fixation: autoDraw = False
36.1502 	EXP 	grating: autoDraw = False
36.5059 	EXP 	New trial (rep=5, index=0): None
36.5094 	DATA 	Keypress: down
36.5176 	EXP 	fixation: autoDraw = False
36.5176 	EXP 	grating: autoDraw = False
36.5176 	EXP 	grating: ori = 0.0
36.5176 	EXP 	fixation: autoDraw = True
37.5174 	EXP 	fixation: autoDraw = False
37.5174 	EXP 	grating: autoDraw = True
37.8199 	EXP 	grating: autoDraw = False
38.0064 	EXP 	New trial (rep=6, index=0): None
38.0099 	DATA 	Keypress: up
38.0179 	EXP 	fixation: autoDraw = False
38.0179 	EXP 	grating: autoDraw = False
38.0179 	EXP 	grating: ori = 1.0
38.0179 	EXP 	fixation: autoDraw = True
39.0175 	EXP 	fixation: autoDraw = False
39.0175 	EXP 	grating: autoDraw = True
39.3172 	EXP 	grating: autoDraw = False
39.5388 	EXP 	New trial (rep=7, index=0): None
39.5425 	DATA 	Keypress: up
39.5508 	EXP 	fixation: autoDraw = False
39.5508 	EXP 	grating: autoDraw = False
39.5508 	EXP 	grating: ori = 0.0
39.5508 	EXP 	fixation: autoDraw = True
40.5552 	EXP 	fixation: autoDraw = False
40.5552 	EXP 	grating: autoDraw = True
40.8686 	EXP 	grating: autoDraw = False
41.1524 	DATA 	Keypress: up
41.1715 	EXP 	New trial (rep=8, index=0): None
41.1837 	EXP 	fixation: autoDraw = False
41.1837 	EXP 	grating: autoDraw = False
41.1837 	EXP 	grating: ori = 0.0
41.1837 	EXP 	fixation: autoDraw = True
42.1827 	EXP 	fixation: autoDraw = False
42.1827 	EXP 	grating: autoDraw = True
42.4827 	EXP 	grating: autoDraw = False
42.7550 	EXP 	New trial (rep=9, index=0): None
42.7582 	DATA 	Keypress: up
42.7667 	EXP 	fixation: autoDraw = False
42.7667 	EXP 	grating: autoDraw = False
42.7667 	EXP 	grating: ori = -2.0
42.7667 	EXP 	fixation: autoDraw = True
43.7670 	EXP 	fixation: autoDraw = False
43.7670 	EXP 	grating: autoDraw = True
44.0890 	EXP 	grating: autoDraw = False
44.6671 	DATA 	Keypress: down
44.6973 	EXP 	New trial (rep=10, index=0): None
44.7041 	EXP 	fixation: autoDraw = False
44.7041 	EXP 	grating: autoDraw = False
44.7041 	EXP 	grating: ori = -4.0
44.7041 	EXP 	fixation: autoDraw = True
45.6960 	EXP 	grating: autoDraw = True
45.7125 	EXP 	fixation: autoDraw = False
45.9960 	EXP 	grating: autoDraw = False
46.5710 	EXP 	New trial (rep=11, index=0): None
46.5768 	DATA 	Keypress: down
46.5801 	EXP 	fixation: autoDraw = False
46.5801 	EXP 	grating: autoDraw = False
46.5801 	EXP 	grating: ori = -3.0
46.5801 	EXP 	fixation: autoDraw = True
47.5798 	EXP 	grating: autoDraw = True
47.5957 	EXP 	fixation: autoDraw = False
47.8955 	EXP 	grating: autoDraw = False
48.4362 	EXP 	New trial (rep=12, index=0): None
48.4411 	DATA 	Keypress: down
48.4450 	EXP 	fixation: autoDraw = False
48.4450 	EXP 	grating: autoDraw = False
48.4450 	EXP 	grating: ori = 0.0
48.4450 	EXP 	fixation: autoDraw = True
49.4453 	EXP 	fixation: autoDraw = False
49.4453 	EXP 	grating: autoDraw = True
49.7452 	EXP 	grating: autoDraw = False
50.1559 	EXP 	New trial (rep=13, index=0): None
50.1631 	DATA 	Keypress: up
50.1664 	EXP 	fixation: autoDraw = False
50.1664 	EXP 	grating: autoDraw = False
50.1664 	EXP 	grating: ori = 3.0
50.1664 	EXP 	fixation: autoDraw = True
51.1618 	EXP 	grating: autoDraw = True
51.1784 	EXP 	fixation: autoDraw = False
51.4616 	EXP 	grating: autoDraw = False
51.9040 	EXP 	New trial (rep=14, index=0): None
51.9104 	DATA 	Keypress: down
51.9137 	EXP 	fixation: autoDraw = False
51.9137 	EXP 	grating: autoDraw = False
51.9137 	EXP 	grating: ori = -4.0
51.9137 	EXP 	fixation: autoDraw = True
52.9113 	EXP 	grating: autoDraw = True
52.9282 	EXP 	fixation: autoDraw = False
53.2112 	EXP 	grating: autoDraw = False
53.7195 	EXP 	New trial (rep=15, index=0): None
53.7256 	DATA 	Keypress: down
53.7290 	EXP 	fixation: autoDraw = False
53.7290 	EXP 	grating: autoDraw = False
53.7290 	EXP 	grating: ori = 0.0
53.7290 	EXP 	fixation: autoDraw = True
54.7278 	EXP 	fixation: autoDraw = False
